headline,﻿polarity,﻿subjectivity
Ilhan Omar Is Not Here to Put You at Ease,-0.4 ,0.0 
A TV Drama on China’s Fight With Covid-19 Draws Ire Over Its Depiction of Women,-0.4 ,0.0 
Health Officials Tiptoe Around Trump’s Coronavirus Vaccine Timeline,-0.4 ,0.0 
Gen Zers Say Silicon Valley Is Elitist and Exclusive. Can They Build a New System?,-0.4 ,0.0 
The Housewife Who Was a Spy,-0.4 ,0.0 
Minnesota Seemed Ripe for a Trump Breakout. It Has Not Arrived,-0.4 ,0.0 
‘I Am Woman’ Review: Singing Against Sexism,-0.4 ,0.0 
The Macho Appeal of Donald Trump,-0.4 ,0.0 
Do You Care Who Sits on the Supreme Court? Should We Care?,-0.4 ,0.0 
A Coronavirus Relief Deal Remains Elusive,-0.4 ,0.0 
The Field: A Divided Latino Vote in Arizona,-0.4 ,0.0 
The Greats,-0.4 ,0.0 
The Meaning of Amy Coney Barrett,-0.3 ,0.0 
"Making History, Ginsburg Is Honored at a Capitol Divided Over Replacing Her",-0.3 ,0.0 
Film Club: ‘Does It Matter What I Look Like When No One’s Watching?,-0.3 ,0.0 
"Idles Are Throwing a Post-Punk Revolution, and Everyone’s Invited",-0.3 ,0.0 
Mothers Are the ‘Shock Absorbers’ of Our Society,-0.3 ,0.0 
The Learning Bulletin Board,-0.3 ,0.0 
Kamala Harris and Mike Pence Debate: What to Watch For’,-0.2 ,0.0 
Pope Criticizes Lack of Unity in World’s Response to Coronavirus,-0.2 ,0.0 
Arctic Expedition’s Dress Code Raises Concerns About Sexism in Science,-0.2 ,0.0 
‘Ridicule’: The French Reaction to ‘Emily in Paris’,-0.2 ,0.0 
"Pearls, Pumps and Precedent in the Case of Amy Coney Barrett",-0.1 ,0.0 
French Soccer Roiled by Claims of Toxic Workplace Culture,-0.1 ,0.0 
The Battle for the Senate,-0.1 ,0.0 
Do You Care Who Sits on the Supreme Court? Should We Care?,-0.1 ,0.0 
The Comforts of Clutter,0.0 ,0.1 
Trump’s Nominee Gets a Hearing and the Town Hall Divide: This Week in the 2020 Race,0.0 ,0.1 
The Bubble Doctor Is In: She Keeps Dance Companies Moving’,0.0 ,0.1 
hey Just Get It’: How Women in M.L.B. Found Support in a Group Text,0.0 ,0.1 
