headline,﻿polarity,﻿subjectivity
From ‘Torches of Freedom’ to ‘Mask Breath’,-0.1 ,0.0 
Coronavirus Employment Shock Hits Women Harder Than Men,-0.1 ,0.0 
10 Women on Both Sides of the Fundraising Negotiating Table,0.0 ,0.0 
Women to Watch in Fundraising,0.0 ,0.0 
Springboard Growth Looks to Bridge Funding Gap for Women-Led Companies,0.0 ,0.0 
"If Women Drop Out of the Labor Force, Corporate Effectiveness Will Suffer",0.0 ,0.0 
Venture Capital Struggles to Boost Funding for Startups With Women Founders,0.0 ,0.0 
Here’s How the Pandemic Is Affecting Women’s Careers,0.0 ,0.0 
How the Coronavirus Crisis Threatens to Set Back Women’s Careers,0.0 ,0.0 
Women Founders of AI Startups Take Aim at Gender Bias,0.0 ,0.0 
Women Who Made the American West,0.0 ,0.0 
Three Questions With Erin Loos Cutraro on Why Women Should Run for Office,0.0 ,0.0 
Pope Francis Names Six Women to Senior Vatican Positions,0.0 ,0.0 
The Women’s Suffrage Movement and the Gender Gap Are Fixtures of U.S. Elections. It Didn’t Start Out That Way.,0.0 ,0.0 
Three Questions With Financial Adviser Karen Altfest on How Women Want to Talk About Money,0.0 ,0.0 
Group Including Natalie Portman and Serena Williams to Launch Women’s Soccer Team in L.A.,0.0 ,0.0 
GOP Women Embrace Guns in House Races,0.0 ,0.0 
Three Questions With UBS’s Jane Schwartzberg About Women and Money,0.0 ,0.0 
‘The Vote’ Review: When Women Seized Suffrage,0.0 ,0.0 
This Longtime BET Boss Shows Women How to Run the World—With Inspiration From Beyoncé,0.0 ,0.0 
‘The Equivalents’ Review: Women’s Work,0.0 ,0.0 
"During Suffrage Anniversary, Wyoming Women Aim to Boost Representation",0.0 ,0.0 
Judge Rejects U.S. Women’s Soccer Players’ Pay-Discrimination Claim,0.0 ,0.0 
Pandemic Delays U.S. Women’s Soccer Trial,0.0 ,0.0 
Women Need to Step Up as Coaches for Women’s Sports,0.0 ,0.0 
U.S. Soccer President Apologizes After U.S. Women Protest Court Filing,0.0 ,0.0 
Mexico Grinds to a Halt as Women Strike to Protest Gender Violence,0.0 ,0.0 
The Race to Replace the Binary of Men’s and Women’s Sports,0.0 ,0.0 
Mexican Women Plan a Daylong Strike to Protest Violence,0.0 ,0.0 
California Law Pressures Small-Company Boards to Include Women,0.0 ,0.0 
Attendance at Women’s College Basketball Games Is Surging,0.0 ,0.0 
Pressure Builds on Mexican President Over Rising Violence Against Women,0.0 ,0.0 
Arming Women for the Dating Battlefield,0.0 ,0.0 
Where Are All the Women CEOs?,0.0 ,0.0 
Novelist Ali Smith Finds Art for All Seasons,0.0 ,0.0 
What Americans Really Think About Abortion,0.0 ,0.0 
‘Enola Holmes’: Detecting a Novel Heroine,0.0 ,0.0 
PE Daily: Hamilton Lane Taps Yett as ESG Chief | Warburg Backs Salsify | Investment Consulting World Shrinks,0.0 ,0.0 
Will Working From Home Kill the Bra Forever?,0.0 ,0.0 
Harley-Davidson Names Tyson Foods Executive as Its Next CFO,0.0 ,0.0 
Microsoft Buys Doom Owner in $7.5 Billion Videogaming Deal,0.0 ,0.0 
The Case That Helped Define Ruth Bader Ginsburg’s Gender Equality Fight,0.0 ,0.0 
"Ruth Bader Ginsburg, Equality’s Gracious Champion",0.0 ,0.0 
Darren Star on the Guts It Took to Create ‘Sex and the City’,0.0 ,0.0 
"The Supreme Court on Sex, Gender and Jobs",0.0 ,0.0 
Gorsuch and the Changing Meaning of ‘Sex’,0.0 ,0.0 
Some of California’s Sexiest Mansions Are Getting G-Rated Rebrands,0.0 ,0.0 
Sex in the Time of Coronavirus,0.0 ,0.0 
UAW Investigates Allegations of Sex Harassment Against Board Member,0.0 ,0.0 
Retail Tycoon Resigns After Raid in Sex-Trafficking Probe,0.0 ,0.0 
"Shooting, Sex Crime and Theft: Airbnb Takes Halting Steps to Protect Its Users",0.0 ,0.0 
Uber Settles Sex-Discrimination Charge with EEOC,0.0 ,0.0 
Uber Founder Turns Real-Estate Mogul for Ghost Kitchen Startup,0.0 ,0.0 
All Federal Agencies Told to Suspend Diversity Training Programs,0.0 ,0.0 
Lynne Cheney’s Journey to the Founding Era,0.0 ,0.0 
Breaking Judicial Norms: A History,0.0 ,0.0 
How Bill Nye Draws Power From Being Insignificant,0.0 ,0.0 
Fiction: Family Meal,0.0 ,0.0 
‘Agnes Pelton: Desert Transcendentalist’ Review: Where Mystical Meets Magnificent,0.0 ,0.0 
The Democrats Miss the Meaning,0.0 ,0.0 
The Bernie Sanders Moment,0.0 ,0.0 
Minority Owners Pressure Dan Snyder to Sell Washington’s NFL Team,0.0 ,0.0 
‘Wisden Cricketers’ Almanack’ Review: Chronicles From the Playing Field,0.0 ,0.0 
Chris Frantz on the Rise and Fall of Talking Heads,0.0 ,0.0 
‘Character’ Review: Where the Self Meets the World,0.0 ,0.0 
"Stop the Vandals, Then Rethink the Monuments",0.0 ,0.0 
Lisa Pratt Is Out to Save the Worlds,0.0 ,0.0 
CrossFit Founder Sells Gym Business,0.0 ,0.0 
What to Watch: A Documentary on Singing Legend Ella Fitzgerald,0.0 ,0.0 
Civil Rights Groups Push for Facebook Ad Boycott,0.0 ,0.0 
"Fewer Fistfights, Less Sex—TV Production Gets a Covid Makeover",-0.2 ,0.1 
10 Female VCs Grooming the Next Generation of Game-Changing Startups,0.0 ,0.1 
What Ruth Bader Ginsburg Means to the Next Generation of Legal Minds,-0.1 ,0.1 
"Charlie Kaufman Says Old Hollywood, Not Netflix, Killed Movies",-0.1 ,0.1 
How the Coronavirus Killed Its First Female Victim in the U.S.,-0.1 ,0.1 
VC Daily: Female Founders Net Record Funding; Biotech Investor Shares Insights; Bankrupt uBiome Sells Intellectual Property,0.1 ,0.1 
"Candidates Debate Women’s Rights, Biden Pledges to Pick Female VP",0.0 ,0.2 
The Struggles of Pop Music’s Female Stars,0.0 ,0.2 
WSJ Opinion: Amy Coney Barrett and Her Female Critics,0.0 ,0.2 
I Never Thought I’d Write This: I Am a Female Bodybuilder,0.0 ,0.2 
"Phyllis George, Female Sportscasting Pioneer, Dies at 70",0.0 ,0.2 
The History of Female Brain Studies Reveal a Lot,0.0 ,0.2 
"Candidates Debate Women’s Rights, Biden Pledges to Pick Female VP",0.0 ,0.2 
"After Warren’s Exit, Democrats Weigh Treatment of Female Candidates",0.0 ,0.2 
Female Athletes See Opportunities From Looser NCAA Endorsement Rules,0.0 ,0.2 
"Warren, Sanders Spat Sparks Female Electability Debate",0.0 ,0.2 
Venture Funding for Female Founders Reaches Record,0.0 ,0.2 
California Law Spurs Companies to Add Female Directors,0.0 ,0.2 
"The Struggles of Pop Music’s Female Stars, from Linda Ronstadt to Rihanna",0.0 ,0.2 
PE Daily: Providence to Score on ZeniMax | Vertex Navigates Aerospace Turbulence | Clarion’s Big Win on AML RightSource | How Orlando Bravo Scaled Industry Heights,0.3 ,0.2 
"Women Still Hold Less Than a Third of Top Roles at U.K. Companies, Review Finds",0.1 ,0.2 
"Black, Female and Head of a Public Real-Estate Company. Meet the Only Person to Fit That Description.",-0.1 ,0.2 
Second Top Female Executive at Bridgewater Says Firm Paid Her Less Than Men,0.1 ,0.2 
VC Daily: Funding to Women Founders Drops; Self-Driving Partnerships Persist; New Heritage Capital’s New Fund,0.1 ,0.2 
"New York City Death Certificates Will Now Include Male, Female or ‘X’",0.1 ,0.2 
Supreme Court to Consider Religious Rights Case Involving Same-Sex Couples,0.0 ,0.3 
Kamala Harris to Make History as First Female U.S. Vice President,0.1 ,0.3 
WTO Is Poised to Pick Its First Female Leader,0.1 ,0.3 
Wharton Names First Female Dean,0.1 ,0.3 
In the Elevator With The First Female Space Tourist,0.1 ,0.3 
"Cardi B, Megan Thee Stallion Top the Charts in Big Moment for Female Rappers",0.2 ,0.3 
How Academia Failed to Improve Police Practices,-0.5 ,0.3 
A Diagnosis for American Polarization,-0.2 ,0.3 
PE Daily: Supreme Court May Rule on PE and Pensions | SEC Again Fines Welsh Carson | FFL Partners Forms Bone-Health Platform,-0.1 ,0.3 
Five Best: Ian Rankin on Scottish Novels,0.5 ,0.3 
The New Guard of Female Twitter Comedians,0.1 ,0.3 
New Intelligence on How the Female Brain Works,0.1 ,0.3 
New York Philharmonic Begins Premiering Work of 19 Female Composers,0.1 ,0.3 
"Congress’s New Faces Include Ex-Astronaut, Citadel’s First Female Grad",0.1 ,0.3 
Marlins Hire Kim Ng as Baseball’s First Female General Manager,0.1 ,0.3 
This Black Female Exec Reached the Top. Advisers Are Helping Her Stay There.,0.1 ,0.4 
"Sex, Due Process and Amy Coney Barrett",-0.1 ,0.4 
"Black, Female Candidates for Federal Office Reach Record High",-0.1 ,0.4 
Black Women’s Long Struggle for Voting Rights,-0.1 ,0.4 
The Ideological Corruption of Science,-0.2 ,0.4 
"For Black Women in Wine, the Industry Has Been Inhospitable",-0.2 ,0.4 
Collector’s Eye: They Built a World-Class Collection of Black Artists’ Work. Who Are They Acquiring Now?,-0.2 ,0.4 
"Black Officers Say Discrimination Abounds, Complicating Reform Efforts",-0.2 ,0.4 
Woke Science Is an Experiment Certain to Fail,-0.1 ,0.4 
‘Emma’ by a Female Director Sees Jane Austen in a New Light,0.2 ,0.4 
America Doesn’t Need a New Revolution,0.1 ,0.5 
More Democratic Women Urge Joe Biden to Pick a Black Woman Running Mate,0.2 ,0.5 
Minnesota Seemed Ripe for a Trump Breakout. It Has Not Arrived,-0.2 ,0.5 
Amy Coney Barrett Is Again a Top Contender for Supreme Court Nomination,-0.2 ,0.5 
‘Artemis’ Review: An All-Female Septet With Steady Aim,0.2 ,0.5 
A Veteran Screenwriter Makes Jane Austen Sexy,0.3 ,0.5 
Here Are the Top Women in U.S. Banking,0.5 ,0.5 
Women and Men Age Differently—in More Ways Than Just Longevity,0.5 ,0.5 
Coronavirus Seems to Be Infecting and Killing More Men Than Women,0.5 ,0.5 
Justice Ruth Bader Ginsburg’s Most Notable Decisions and Dissents,0.5 ,0.5 
"7 Books About Inspiring Women, Real and Fictional",0.2 ,0.5 
Dayton Superior Nears Restructuring Deal | Career Advice from PE’s Female Leaders | Silver Lake Buys Soccer Teams,0.4 ,0.5 
Women in Sports Are on a High. What’s Next?,0.2 ,0.5 
Late South Korea Mayor’s Accuser Details Sexual-Harassment Allegations,-0.3 ,0.6 
Women’s Job Losses From the Pandemic Aren’t Good for Recovery,0.7 ,0.6 
The Ultimate Guide to the Best Running Gear for Men and Women,0.5 ,0.7 
The Woman Behind a Hit Videogame,-0.4 ,0.7 
"For Cooks, Fear Can Be a Secret Ingredient",-0.4 ,0.7 
‘These Women’ Review: The Most Dangerous Beat in L.A.,-0.1 ,0.7 
"More Women on Boards, Fewer Dangerous Products",-0.1 ,0.7 
A Celebrated Scientist’s Battles Against Sexism,0.4 ,0.8 
"In South Africa’s Most Famous Wine Region, Women Are Rewriting History",0.5 ,0.8 
South Korea’s Male-Dominated Workplaces in Spotlight After Sexual Harassment Accusations,0.5 ,0.8 
UAW Board Member Resigns Amid Accusations of Sexual Harassment,0.5 ,0.8 
"UAW Staffer Sues Union Alleging Sexual Harassment, Retaliation",0.5 ,0.8 
Calls for Sexual Abstinence Among Teens in Brazil Signal Rising Conservatism,0.5 ,0.8 
Uber Report Details Sexual Assaults in U.S. Over Two Years,0.5 ,0.8 
The Dangerous Denial of Sex,-0.6 ,0.9 
How Women’s Suffrage Changed America Far Beyond the Ballot Box,0.1 ,1.0 
